Country,GDP per capita,Life satisfaction
Greece,18064.288,4.8
Hungary,12239.894,4.9
Portugal,19121.592,5.1
Turkey,9437.372,5.6
Estonia,17288.083,5.6
Slovenia,20732.482,5.7
Poland,12495.334,5.8
Korea,27195.197,5.8
Japan,32485.545,5.9
Russia,9054.914,6
Italy,29866.581,6
Slovak Republic,15991.736,6.1
Spain,25864.721,6.5
France,37675.006,6.5
United Kingdom,43770.688,6.8
Belgium,40106.632,6.9
Austria,43724.031,6.9
Germany,40996.511,7
Ireland,51350.744,7
Sweden,49866.266,7.2
United States,55805.204,7.2
New Zealand,37044.891,7.3
Canada,43331.961,7.3
Netherlands,43603.115,7.3
Australia,50961.865,7.3
Israel,35343.336,7.4
Finland,41973.988,7.4
Iceland,50854.583,7.5
Denmark,52114.165,7.5
